PUFC05_AGE,PUFC06_MSTAT,PUFC04_SEX,PUFC07_GRADE,PUFC08_CURSCH,PUFC38_PREVJOB,PUFC31_FLWRK,PUFC30_LOOKW,PUFC34_WYNOT
76,3,1,700,-1,1,-1,2,6
66,1,1,700,-1,-1,-1,-1,-1
67,2,1,700,-1,-1,-1,-1,-1
29,2,2,700,-1,-1,-1,-1,-1
50,2,1,700,-1,-1,-1,-1,-1
16,1,1,700,1,2,-1,2,8
23,1,2,700,2,-1,-1,-1,-1
59,2,1,700,-1,1,-1,2,7
49,2,2,700,-1,-1,-1,-1,-1
50,4,2,700,-1,-1,-1,-1,-1
16,1,2,700,1,1,-1,2,8
5,1,1,700,1,-1,-1,-1,-1
22,1,2,700,2,-1,-1,-1,-1
10,1,2,700,2,-1,-1,-1,-1
10,1,1,700,1,-1,-1,-1,-1
65,2,2,700,-1,-1,-1,-1,-1
35,2,1,700,-1,-1,-1,-1,-1
38,2,2,700,-1,-1,-1,-1,-1
19,1,2,700,1,2,-1,2,8
30,1,2,700,-1,-1,-1,-1,-1
40,2,2,700,-1,1,-1,2,7
5,1,2,700,2,-1,-1,-1,-1
13,1,1,700,1,-1,-1,-1,-1
34,2,2,700,-1,-1,-1,-1,-1
21,1,1,700,2,-1,-1,-1,-1
17,1,2,700,2,2,-1,2,6
41,2,1,700,-1,-1,-1,-1,-1
14,1,1,700,1,-1,-1,-1,-1
42,2,1,700,-1,-1,-1,-1,-1
14,1,1,700,1,-1,-1,-1,-1
39,2,2,700,-1,-1,-1,-1,-1
7,1,2,700,1,-1,-1,-1,-1
40,1,2,700,-1,-1,-1,-1,-1
41,2,1,700,-1,-1,-1,-1,-1
7,1,2,700,1,-1,-1,-1,-1
9,1,1,700,1,-1,-1,-1,-1
32,2,1,700,-1,1,-1,2,4
60,2,2,700,-1,1,-1,2,7
22,2,2,700,2,1,-1,2,7
20,1,2,700,1,2,-1,2,8
16,1,2,700,1,1,-1,2,8
59,2,1,700,-1,-1,-1,-1,-1
9,1,2,700,1,-1,-1,-1,-1
16,1,1,700,2,-1,-1,-1,-1
5,1,2,700,1,-1,-1,-1,-1
54,2,2,700,-1,-1,-1,-1,-1
5,1,2,700,1,-1,-1,-1,-1
23,1,2,700,2,2,1,1,-1
20,1,2,700,2,2,-1,2,7
47,2,2,700,-1,-1,-1,-1,-1
58,2,1,700,-1,-1,-1,-1,-1
21,1,2,700,2,1,-1,2,2
22,1,1,700,2,-1,-1,-1,-1
15,1,1,700,1,-1,-1,-1,-1
28,2,1,700,-1,-1,-1,-1,-1
8,1,2,700,1,-1,-1,-1,-1
15,1,1,700,1,2,-1,2,8
40,2,2,700,-1,1,-1,2,7
8,1,1,700,1,-1,-1,-1,-1
84,2,1,700,-1,1,-1,2,6
10,1,2,700,1,-1,-1,-1,-1
12,1,2,700,1,-1,-1,-1,-1
56,2,1,700,-1,-1,-1,-1,-1
14,1,1,700,1,-1,-1,-1,-1
30,2,2,700,-1,-1,-1,-1,-1
53,2,1,700,-1,-1,-1,-1,-1
48,2,2,700,-1,1,-1,2,7
18,1,1,700,1,2,-1,2,8
22,1,1,700,2,1,-1,2,7
35,2,1,700,-1,-1,-1,-1,-1
58,2,2,700,-1,1,-1,2,7
26,2,2,700,-1,1,-1,2,7
10,1,2,700,1,-1,-1,-1,-1
10,1,2,700,1,-1,-1,-1,-1
22,1,2,700,2,-1,-1,-1,-1
59,2,2,700,-1,1,-1,2,7
58,2,2,700,-1,-1,-1,-1,-1
43,2,2,700,-1,-1,-1,-1,-1
44,2,1,700,-1,-1,-1,-1,-1
65,2,1,700,-1,1,-1,2,6
48,2,2,700,-1,-1,-1,-1,-1
25,1,2,700,-1,-1,-1,-1,-1
19,1,1,700,1,1,-1,2,9
13,1,1,700,1,-1,-1,-1,-1
20,1,1,700,2,-1,-1,-1,-1
23,1,1,700,2,-1,-1,-1,-1
21,1,1,700,2,1,-1,2,7
23,2,1,700,2,-1,-1,-1,-1
5,1,1,700,1,-1,-1,-1,-1
36,2,1,700,-1,-1,-1,-1,-1
49,2,2,700,-1,-1,-1,-1,-1
29,2,1,700,-1,-1,-1,-1,-1
12,1,1,700,1,-1,-1,-1,-1
7,1,1,700,2,-1,-1,-1,-1
16,1,2,700,1,2,-1,2,8
49,2,2,700,-1,-1,-1,-1,-1
15,1,2,700,1,2,-1,2,8
12,1,2,700,1,-1,-1,-1,-1
25,2,2,700,-1,2,-1,2,7
60,3,2,700,-1,-1,-1,-1,-1
23,1,1,700,2,-1,-1,-1,-1
17,1,1,700,1,2,-1,2,8
42,2,2,700,-1,-1,-1,-1,-1
20,1,1,700,2,-1,-1,-1,-1
20,1,2,700,1,2,-1,2,8
39,2,2,700,-1,1,-1,2,7
62,2,1,700,-1,-1,-1,-1,-1
70,2,2,700,-1,2,-1,2,7
10,1,1,700,1,-1,-1,-1,-1
32,2,2,700,-1,-1,-1,-1,-1
63,2,2,700,-1,-1,-1,-1,-1
11,1,2,700,1,-1,-1,-1,-1
42,2,1,700,-1,-1,-1,-1,-1
47,2,2,700,-1,-1,-1,-1,-1
10,1,1,700,2,-1,-1,-1,-1
17,1,1,700,1,2,-1,2,8
12,1,2,700,1,-1,-1,-1,-1
57,2,1,700,-1,-1,-1,-1,-1
16,1,2,700,1,1,-1,2,8
21,2,2,700,2,2,-1,2,7
48,2,1,700,-1,-1,-1,-1,-1
39,2,1,700,-1,-1,-1,-1,-1
6,1,1,700,1,-1,-1,-1,-1
10,1,2,700,1,-1,-1,-1,-1
10,1,1,700,1,-1,-1,-1,-1
5,1,2,700,1,-1,-1,-1,-1
23,1,1,700,2,-1,-1,-1,-1
22,1,1,700,2,-1,-1,-1,-1
5,1,2,700,1,-1,-1,-1,-1
21,2,2,700,2,-1,-1,-1,-1
63,2,1,700,-1,-1,-1,-1,-1
18,1,1,700,1,-1,-1,-1,-1
46,2,2,700,-1,-1,-1,-1,-1
32,2,2,700,-1,-1,-1,-1,-1
7,1,1,700,1,-1,-1,-1,-1
16,1,2,700,1,-1,-1,-1,-1
52,2,2,700,-1,1,-1,2,7
7,1,2,700,1,-1,-1,-1,-1
83,2,1,700,-1,1,-1,2,6
56,2,2,700,-1,1,-1,2,7
31,1,1,700,-1,1,-1,2,5
37,1,2,700,-1,-1,-1,-1,-1
10,1,1,700,2,-1,-1,-1,-1
42,1,1,700,-1,-1,-1,-1,-1
55,3,2,700,-1,-1,-1,-1,-1
29,2,2,700,-1,2,-1,2,7
27,4,2,700,-1,-1,-1,-1,-1
23,2,2,700,2,-1,-1,-1,-1
45,2,2,700,-1,1,-1,2,7
66,3,1,700,-1,1,-1,2,6
26,1,2,700,-1,-1,-1,-1,-1
12,1,2,700,1,-1,-1,-1,-1
31,1,1,700,-1,-1,-1,-1,-1
18,1,1,700,1,2,-1,2,8
